"","31","568","1014","7917","9101113a","9101113b","151","170","125147","126147","171188","APA12PACb","BV","BVT","BVTGMVT2","CNF","FKN","GMVT1","MC","OZ12","SFNF12","WHWI","WWI","VSH123"
"B114",0.00152837106056403,0.0154004230348159,0.289198900105917,6.7743954168531e-06,0,4.17463759538883e-06,0.998081577259015,0.000258073835049277,0.000992506123881909,0.221916445409019,0.00269471615408878,0.0344354466585528,1.11022302462516e-16,0.714762988440331,0.998479915792439,0.492020300920926,0.631132743229011,0.0194524075089488,0.12659720361387,0.324340764451691,0.255876464990353,0.894181481619722,0.0690509972648479,0.997108355584157
"B159",0.482906726973415,0.973289842597957,2.61274867002781e-05,1.11069013563059e-05,2.65343302885412e-14,4.78887599925093e-05,0.625056939615104,0.0183898021763845,0.17073279529672,0.827399728735069,0.814151669176183,0.775471863689772,0.763750999715963,0.209812345169126,0.836136973700502,0.872130855154619,0.600682135370582,0.455723822961958,0.30320153334113,1.20103185622389e-05,0.375361601978886,0.0771079526869123,0.884178432883022,0.615836766510385
"WGA",0.0835369751981165,0.310224054211343,0.00108240020334838,0.0516487593928683,3.5527136788005e-15,0,0.284605026030513,0.919430298172113,0.819548766120284,0.882013850380526,0.195889125596452,0.390176183035863,0.818545185230114,0.264437633771844,0.0173635484964094,0.0408968427696225,0.146841617225947,0.878381933714559,0.454711438289776,0.986636832750373,0.728215917835297,0.598768144940118,0.491594372379398,0.345863430582816
"A5_2",0.033940306887051,5.04827657454854e-09,0.0934938391617534,0.00194621858384025,1.0973444375395e-12,1.93565096173742e-08,0.487220146310595,0.788715983752646,0.499444331340744,0.96736469979527,0.528212992622028,0.342248155351518,1.25400034514112e-05,0.649123338633717,0.401345076484426,0.925631785817104,0.0430733857034545,0.321312053988701,0.776558475448348,0.00758708235796068,0.106679661451991,0.998969018113618,0.921985892590722,0.929730131793318
"B157",0.000199664898574481,0,2.92479947483493e-07,8.75965966429249e-14,0,1.18118625991315e-10,0.167455749014662,0.532971221527858,0.34965070111453,0.0692080577138418,0,0,0.106216984552551,0.946757170535193,0.963683173402156,0.760077416117191,0.790567527728964,0.480129629495928,0.109914727822581,6.11348083958685e-05,0.136590406114353,0.936107635938329,0.282592978460273,0.512759020541372
"B212_2",0,0,0,1.2968404128344e-11,0,0,0.694547354671182,0.494022301805,0.00544149943110506,2.81054368165279e-05,1.0104289682733e-07,0.875438085169005,0.00277530924046732,0.679249940558363,0.191498493484988,0.6708379027018,0.697700752796012,0.707727252019666,0.995235463827174,1.15407683409785e-12,0.882062131678866,0.0717182829056175,0.660499741998243,0.252937331179103
"B121",3.40076493408059e-05,4.0791114930272e-10,0.897982148837326,0.000509591255062669,0.0792387334753032,0.353111746961242,0.00733246746109284,0.953092641317022,0.276340192915068,0.0001044527988453,0.172550378271566,0.764078075380463,0.775038685605004,0.53425586434136,0.74676389239454,0.935664960712315,0.919455241995383,0.30773681734892,0.540447553017402,0.0895634407873853,0.0017603748291205,0.0625589236583286,0.991950657653842,0.0679751643944513
"B147",1.87370549038501e-05,0.0169203356050653,1.26320065518826e-11,0.874659134960575,1.55473411922458e-11,1.33381995448545e-08,0.0307057253946934,0.298058958442367,0.405266261897815,0.57932352906403,6.56058221515377e-06,7.05437689174637e-05,0.0297960957253264,0.960900911678973,0.897010969033017,0.988701975129084,0.734579318209195,0.144163175976219,0.597147604539208,0.37006039765397,0.0503401727502683,0.654474485950154,0.990596910982045,0.292046179659824
"B249",0.317948104903547,0.956674691500627,0.051522860487865,0.217653521339392,0,0.181337617006635,0.494229795296439,0.0080903420967795,1.79391612675772e-10,0.00802054780304717,0.760287731749979,0.76217360337,0.87287293144717,0.240283540253804,0.519422782955793,0.723285936085289,0.486643626411371,0.697902129348778,0.0848925781658529,0.996458674071341,0.888923868515009,0.988357799011523,0.00340793346191082,0.961911282360226
"B262",0.0114514567822549,0.378828974504157,0.315855972019727,0.000623896189757223,1.88284966584629e-06,3.63216123844268e-11,0.363862009213719,0.992768685289028,0.0633906807836978,0.690297186614946,1.54852667355598e-08,0.997163800338163,7.98371437520373e-05,0.495514191129452,0.999602104824711,0.998529130109962,0.419308076087421,0.506351778702834,0.107793039529142,0.994674425757544,0.974216579625202,0.349267482067896,0.306669817725303,0.0869003855103994
"B264",0.667070275689973,0.000436863146833222,0,0.000280194268387546,0,0,0.289106394445803,0.981765033701348,0.404784097307158,6.57313536933657e-10,0.0821182690970527,7.7715611723761e-16,0.000380423281898024,3.12397987747293e-05,4.42674061518211e-07,1.25032116035095e-05,0.792823084369346,0.00995262081027315,0.0229210297927106,0.960471586261723,0.0179955274243337,0.0110226313134423,0.90940437284117,0.953518564103437
