"","Distance","Allelic_Richness","Col"
"31",95.8269211492781,7.25899356080791,"firebrick1"
"568",109.816456592915,7.89020941390068,"firebrick1"
"1014",160.88804747352,8.19231802307498,"firebrick1"
"7917",113.189523876528,8.14861221881957,"firebrick1"
"9101113a",168.257589234407,7.71041964301085,"firebrick1"
"9101113b",159.792522117724,7.99435326190263,"firebrick1"
"151",195.485004986654,8.51171683046041,"firebrick4"
"170",135.204899534835,7.36494341422044,"lightsalmon"
"125147",212.160863844346,9.18261165870971,"firebrick4"
"126147",197.688920554315,8.91249881931789,"firebrick4"
"171188",184.384041433476,8.3286175855492,"lightsalmon"
"APA12PACb",467.809432816685,9.16337791701209,"dodgerblue"
"BV",286.574737487567,8.40789796622104,"dodgerblue"
"BVT",261.743237693451,8.04616135901094,"dodgerblue"
"BVTGMVT2",273.456693784883,8.73521347490159,"dodgerblue"
"CNF",170.138713583623,6.6951760184675,"dodgerblue"
"FKN",353.111772538073,8.72930613323797,"dodgerblue"
"GMVT1",236.843336592764,8.31008991650117,"dodgerblue"
"MC",430.003796290988,9.31005103471138,"dodgerblue"
"OZ12",223.857925503691,8.7408806026671,"dodgerblue"
"SFNF12",102.431629860499,8.33778961607541,"dodgerblue"
"WHWI",378.490651046533,6.46567555404934,"dodgerblue"
"WWI",276.391563150901,6.79672449238753,"dodgerblue"
"VSH123",274.006911897022,9.2307647125235,"dodgerblue"
