Pop,Mean_Lat,Col,HExp
31,46.56922075,firebrick1,0.789511994
568,46.66813429,firebrick1,0.829547866
1014,45.73102885,firebrick1,0.821296614
7917,46.05011627,firebrick1,0.834981067
9101113a,45.87147878,firebrick1,0.819115177
9101113b,45.99149421,firebrick1,0.827942447
151,44.60473308,firebrick4,0.838712285
170,45.39393059,lightsalmon,0.780199768
125147,44.13819986,firebrick4,0.85163494
126147,43.99940959,firebrick4,0.848057135
171188,45.03231959,lightsalmon,0.833769729
APA12PACb,41.63773197,dodgerblue,0.846136579
BV,35.9065582,dodgerblue,0.834974237
BVT,44.44504986,dodgerblue,0.817895519
BVTGMVT2,44.03594618,dodgerblue,0.841348851
CNF,45.47158593,dodgerblue,0.77429215
FKN,38.58232574,dodgerblue,0.837274552
GMVT1,42.98822352,dodgerblue,0.815418984
MC,37.19694325,dodgerblue,0.850880577
OZ12,37.05448029,dodgerblue,0.830106826
SFNF12,34.64848319,dodgerblue,0.797718882
WHWI,42.83057646,dodgerblue,0.750639718
WWI,44.54548617,dodgerblue,0.756998557
VSH123,38.35867048,dodgerblue,0.839111053
